"","gene","stage","counts_sum"
"54694","sall1a","3Month",14023
"54695","sall1a","72hpf",13829
"54696","sall1b","21Day",2262
"54697","sall1b","22Month",5360
"54698","sall1b","24hpf",125
"54699","sall1b","3Month",1558
"54700","sall1b","72hpf",3900
"54701","sall2","21Day",1251
"54702","sall2","22Month",1292
"54703","sall2","24hpf",1148
"54704","sall2","3Month",1339
"54705","sall2","72hpf",4556
"54706","sall3a","21Day",400
"54707","sall3a","22Month",306
"54708","sall3a","24hpf",178
"54709","sall3a","3Month",486
"54710","sall3a","72hpf",3243
"54711","sall3b","21Day",558
"54712","sall3b","22Month",475
"54713","sall3b","24hpf",849
"54714","sall3b","3Month",550
"54715","sall3b","72hpf",4109
"54716","sall4","21Day",460
"54717","sall4","22Month",695
"54718","sall4","24hpf",1871
"54719","sall4","3Month",978
"54720","sall4","72hpf",1965
"54721","samd10b","21Day",55
"54722","samd10b","22Month",39
"54723","samd10b","24hpf",36
"54724","samd10b","3Month",42
"54725","samd10b","72hpf",159
"54726","samd11","21Day",2802
"54727","samd11","22Month",4384
"54728","samd11","24hpf",486
"54729","samd11","3Month",6963
"54730","samd11","72hpf",6997
"54731","samd13","21Day",1040
"54732","samd13","22Month",8363
"54733","samd13","24hpf",189
"54734","samd13","3Month",16661
"54735","samd13","72hpf",1294
"54736","samd1a","21Day",823
"54737","samd1a","22Month",1829
"54738","samd1a","24hpf",395
"54739","samd1a","3Month",4768
"54740","samd1a","72hpf",1375
"54741","samd1b","21Day",118
"54742","samd1b","22Month",333
"54743","samd1b","24hpf",81
"54744","samd1b","3Month",612
"54745","samd1b","72hpf",139
"54746","samd4a","21Day",982
"54747","samd4a","22Month",578
"54748","samd4a","24hpf",220
"54749","samd4a","3Month",1283
"54750","samd4a","72hpf",1101
"54751","samhd1","21Day",1787
"54752","samhd1","22Month",2338
"54753","samhd1","24hpf",891
"54754","samhd1","3Month",9135
"54755","samhd1","72hpf",1949
"54756","samm50","21Day",6013
"54757","samm50","22Month",16989
"54758","samm50","24hpf",987
"54759","samm50","3Month",18756
"54760","samm50","72hpf",5633
"54761","samm50l","21Day",1314
"54762","samm50l","22Month",1969
"54763","samm50l","24hpf",409
"54764","samm50l","3Month",4495
"54765","samm50l","72hpf",2276
"54766","samsn1a","21Day",2297
"54767","samsn1a","22Month",54421
"54768","samsn1a","24hpf",1839
"54769","samsn1a","3Month",90105
"54770","samsn1a","72hpf",3668
"54771","samsn1b","21Day",1100
"54772","samsn1b","22Month",4326
"54773","samsn1b","24hpf",312
"54774","samsn1b","3Month",10951
"54775","samsn1b","72hpf",135
"54776","sap130a","21Day",1806
"54777","sap130a","22Month",3783
"54778","sap130a","24hpf",527
"54779","sap130a","3Month",5779
"54780","sap130a","72hpf",4044
"54781","sap130b","21Day",4055
"54782","sap130b","22Month",2912
"54783","sap130b","24hpf",2594
"54784","sap130b","3Month",4079
"54785","sap130b","72hpf",8099
"54786","sap18","21Day",15414
"54787","sap18","22Month",18209
"54788","sap18","24hpf",16911
"54789","sap18","3Month",29646
"54790","sap18","72hpf",30762
"54791","sap30bp","21Day",4451
"54792","sap30bp","22Month",6203
"54793","sap30bp","24hpf",3304
"54794","sap30bp","3Month",11625
"54795","sap30bp","72hpf",8773
"54796","sap30l","21Day",9254
"54797","sap30l","22Month",51755
"54798","sap30l","24hpf",5349
"54799","sap30l","3Month",66900
"54800","sap30l","72hpf",15030
"54801","sar1ab","21Day",497
"54802","sar1ab","22Month",5893
"54803","sar1ab","24hpf",191
"54804","sar1ab","3Month",7909
"54805","sar1ab","72hpf",1287
"54806","sar1b","21Day",39375
"54807","sar1b","22Month",54700
"54808","sar1b","24hpf",21096
"54809","sar1b","3Month",50130
"54810","sar1b","72hpf",48026
"54811","saraf","21Day",2115
"54812","saraf","22Month",6586
"54813","saraf","24hpf",416
"54814","saraf","3Month",9444
"54815","saraf","72hpf",2307
"54816","sardh","21Day",1415
"54817","sardh","22Month",6237
"54818","sardh","24hpf",95
"54819","sardh","3Month",12671
"54820","sardh","72hpf",1130
"54821","sarm1","21Day",654
"54822","sarm1","22Month",372
"54823","sarm1","24hpf",119
"54824","sarm1","3Month",1200
"54825","sarm1","72hpf",3383
"54826","sarnp","21Day",11230
"54827","sarnp","22Month",57965
"54828","sarnp","24hpf",7438
"54829","sarnp","3Month",109563
"54830","sarnp","72hpf",20741
"54831","sars","21Day",10517
"54832","sars","22Month",68177
"54833","sars","24hpf",3960
"54834","sars","3Month",58290
"54835","sars","72hpf",15658
"54836","sars2","21Day",1077
"54837","sars2","22Month",4621
"54838","sars2","24hpf",154
"54839","sars2","3Month",8662
"54840","sars2","72hpf",1027
"54841","sart1","21Day",15169
"54842","sart1","22Month",19668
"54843","sart1","24hpf",9400
"54844","sart1","3Month",22408
"54845","sart1","72hpf",23603
"54846","sart3","21Day",7447
"54847","sart3","22Month",6678
"54848","sart3","24hpf",4208
"54849","sart3","3Month",12732
"54850","sart3","72hpf",11383
"54851","sash1a","21Day",2395
"54852","sash1a","22Month",3876
"54853","sash1a","24hpf",1587
"54854","sash1a","3Month",6491
"54855","sash1a","72hpf",6505
"54856","sash1b","21Day",367
"54857","sash1b","22Month",915
"54858","sash1b","24hpf",271
"54859","sash1b","3Month",2275
"54860","sash1b","72hpf",1160
"54861","sash3","21Day",58
"54862","sash3","22Month",141
"54863","sash3","24hpf",5
"54864","sash3","3Month",263
"54865","sash3","72hpf",2
"54866","sass6","21Day",576
"54867","sass6","22Month",642
"54868","sass6","24hpf",460
"54869","sass6","3Month",2609
"54870","sass6","72hpf",775
"54871","sat1a.1","21Day",3036
"54872","sat1a.1","22Month",39027
"54873","sat1a.1","24hpf",111
"54874","sat1a.1","3Month",35070
"54875","sat1a.1","72hpf",632
"54876","sat1a.2","21Day",17258
"54877","sat1a.2","22Month",737624
"54878","sat1a.2","24hpf",5566
"54879","sat1a.2","3Month",821906
"54880","sat1a.2","72hpf",19839
"54881","sat1b","21Day",1556
"54882","sat1b","22Month",6249
"54883","sat1b","24hpf",422
"54884","sat1b","3Month",20173
"54885","sat1b","72hpf",1464
"54886","sat2b","21Day",1801
"54887","sat2b","22Month",4310
"54888","sat2b","24hpf",540
"54889","sat2b","3Month",7062
"54890","sat2b","72hpf",1513
"54891","satb1a","21Day",170
"54892","satb1a","22Month",229
"54893","satb1a","24hpf",102
"54894","satb1a","3Month",416
"54895","satb1a","72hpf",331
"54896","satb1b","21Day",1626
"54897","satb1b","22Month",264
"54898","satb1b","24hpf",128
"54899","satb1b","3Month",848
"54900","satb1b","72hpf",1640
"54901","sav1","21Day",4684
"54902","sav1","22Month",5694
"54903","sav1","24hpf",2044
"54904","sav1","3Month",9571
"54905","sav1","72hpf",6099
"54906","sb:cb1058","21Day",2274
"54907","sb:cb1058","22Month",243644
"54908","sb:cb1058","24hpf",402
"54909","sb:cb1058","3Month",302535
"54910","sb:cb1058","72hpf",1785
"54911","sb:cb649","21Day",90
"54912","sb:cb649","22Month",22
"54913","sb:cb649","24hpf",99
"54914","sb:cb649","3Month",22
"54915","sb:cb649","72hpf",119
"54916","sb:cb81","21Day",9626
"54917","sb:cb81","22Month",11275
"54918","sb:cb81","24hpf",19938
"54919","sb:cb81","3Month",10472
"54920","sb:cb81","72hpf",34002
"54921","sbds","21Day",3211
"54922","sbds","22Month",14331
"54923","sbds","24hpf",1625
"54924","sbds","3Month",26960
"54925","sbds","72hpf",5030
"54926","sbf1","21Day",4377
"54927","sbf1","22Month",8514
"54928","sbf1","24hpf",1948
"54929","sbf1","3Month",11386
"54930","sbf1","72hpf",10107
"54931","sbf2","21Day",1191
"54932","sbf2","22Month",3968
"54933","sbf2","24hpf",278
"54934","sbf2","3Month",8487
"54935","sbf2","72hpf",3251
"54936","sbno1","21Day",2167
"54937","sbno1","22Month",2448
"54938","sbno1","24hpf",802
"54939","sbno1","3Month",3564
"54940","sbno1","72hpf",2277
"54941","sbno2a","21Day",218
"54942","sbno2a","22Month",204
"54943","sbno2a","24hpf",48
"54944","sbno2a","3Month",238
"54945","sbno2a","72hpf",257
"54946","sc5d","21Day",6529
"54947","sc5d","22Month",2690
"54948","sc5d","24hpf",204
"54949","sc5d","3Month",8862
"54950","sc5d","72hpf",1544
"54951","sc:d217","21Day",105
"54952","sc:d217","22Month",1375
"54953","sc:d217","24hpf",9
"54954","sc:d217","3Month",827
"54955","sc:d217","72hpf",21
"54956","scaf1","21Day",16868
"54957","scaf1","22Month",12199
"54958","scaf1","24hpf",7992
"54959","scaf1","3Month",16280
"54960","scaf1","72hpf",31572
"54961","scaf11","21Day",4016
"54962","scaf11","22Month",18872
"54963","scaf11","24hpf",2224
"54964","scaf11","3Month",25253
"54965","scaf11","72hpf",5148
"54966","scaf4a","21Day",9795
"54967","scaf4a","22Month",7629
"54968","scaf4a","24hpf",6533
"54969","scaf4a","3Month",13741
"54970","scaf4a","72hpf",20871
"54971","scaf4b","21Day",6032
"54972","scaf4b","22Month",8010
"54973","scaf4b","24hpf",3447
"54974","scaf4b","3Month",12501
"54975","scaf4b","72hpf",11531
"54976","scai","21Day",101
"54977","scai","22Month",35
"54978","scai","24hpf",78
"54979","scai","3Month",32
"54980","scai","72hpf",168
"54981","scamp1","21Day",541
"54982","scamp1","22Month",1272
"54983","scamp1","24hpf",153
"54984","scamp1","3Month",1610
"54985","scamp1","72hpf",793
"54986","scamp2","21Day",11840
"54987","scamp2","22Month",47623
"54988","scamp2","24hpf",2541
"54989","scamp2","3Month",69909
"54990","scamp2","72hpf",9629
"54991","scamp2l","21Day",792
"54992","scamp2l","22Month",2021
"54993","scamp2l","24hpf",235
"54994","scamp2l","3Month",4727
"54995","scamp2l","72hpf",1531
"54996","scamp3","21Day",3417
"54997","scamp3","22Month",8782
"54998","scamp3","24hpf",1060
"54999","scamp3","3Month",10781
"55000","scamp3","72hpf",6783
"55001","scamp4","21Day",11310
"55002","scamp4","22Month",2561
"55003","scamp4","24hpf",3103
"55004","scamp4","3Month",3416
"55005","scamp4","72hpf",9099
"55006","scamp5a","21Day",176
"55007","scamp5a","22Month",64
"55008","scamp5a","24hpf",221
"55009","scamp5a","3Month",128
"55010","scamp5a","72hpf",577
"55011","scap","21Day",157
"55012","scap","22Month",356
"55013","scap","24hpf",39
"55014","scap","3Month",704
"55015","scap","72hpf",161
"55016","scaper","21Day",2522
"55017","scaper","22Month",2607
"55018","scaper","24hpf",529
"55019","scaper","3Month",5831
"55020","scaper","72hpf",5436
"55021","scara5","21Day",188
"55022","scara5","22Month",124
"55023","scara5","24hpf",45
"55024","scara5","3Month",634
"55025","scara5","72hpf",147
"55026","scarb1","21Day",1548
"55027","scarb1","22Month",4328
"55028","scarb1","24hpf",288
"55029","scarb1","3Month",10311
"55030","scarb1","72hpf",1341
"55031","scarb2a","21Day",11018
"55032","scarb2a","22Month",41321
"55033","scarb2a","24hpf",2970
"55034","scarb2a","3Month",60842
"55035","scarb2a","72hpf",14952
"55036","scarf1","21Day",124
"55037","scarf1","22Month",895
"55038","scarf1","24hpf",269
"55039","scarf1","3Month",1302
"55040","scarf1","72hpf",227
"55041","sccpdhb","21Day",2306
"55042","sccpdhb","22Month",11699
"55043","sccpdhb","24hpf",557
"55044","sccpdhb","3Month",25120
"55045","sccpdhb","72hpf",3366
"55046","scdb","21Day",3339
"55047","scdb","22Month",6138
"55048","scdb","24hpf",106
"55049","scdb","3Month",4612
"55050","scdb","72hpf",3944
"55051","scel","21Day",8957
"55052","scel","22Month",1331
"55053","scel","24hpf",1120
"55054","scel","3Month",12677
"55055","scel","72hpf",8013
"55056","scfd1","21Day",6748
"55057","scfd1","22Month",16067
"55058","scfd1","24hpf",2109
"55059","scfd1","3Month",21993
"55060","scfd1","72hpf",9595
"55061","scfd2","21Day",30
"55062","scfd2","22Month",117
"55063","scfd2","24hpf",11
"55064","scfd2","3Month",123
"55065","scfd2","72hpf",37
"55066","scg2b","21Day",4928
"55067","scg2b","22Month",2987
"55068","scg2b","24hpf",107
"55069","scg2b","3Month",4581
"55070","scg2b","72hpf",11789
"55071","scg3","21Day",5159
"55072","scg3","22Month",21123
"55073","scg3","24hpf",714
"55074","scg3","3Month",23825
"55075","scg3","72hpf",9126
"55076","scg5","21Day",2351
"55077","scg5","22Month",17272
"55078","scg5","24hpf",59
"55079","scg5","3Month",31712
"55080","scg5","72hpf",3960
"55081","scgn","21Day",528
"55082","scgn","22Month",3354
"55083","scgn","24hpf",39
"55084","scgn","3Month",6567
"55085","scgn","72hpf",274
"55086","schip1","21Day",7582
"55087","schip1","22Month",6602
"55088","schip1","24hpf",3158
"55089","schip1","3Month",12399
"55090","schip1","72hpf",17878
"55091","scin","21Day",749
"55092","scin","22Month",4473
"55093","scin","24hpf",234
"55094","scin","3Month",15246
"55095","scin","72hpf",240
"55096","scinla","21Day",75371
"55097","scinla","22Month",17164
"55098","scinla","24hpf",1033
"55099","scinla","3Month",102493
"55100","scinla","72hpf",8411
"55101","scinlb","21Day",5407
"55102","scinlb","22Month",36417
"55103","scinlb","24hpf",675
"55104","scinlb","3Month",61852
"55105","scinlb","72hpf",1938
"55106","sclt1","21Day",1430
"55107","sclt1","22Month",4750
"55108","sclt1","24hpf",1392
"55109","sclt1","3Month",12605
"55110","sclt1","72hpf",3756
"55111","scly","21Day",132
"55112","scly","22Month",537
"55113","scly","24hpf",44
"55114","scly","3Month",501
"55115","scly","72hpf",89
"55116","scmh1","21Day",2333
"55117","scmh1","22Month",2078
"55118","scmh1","24hpf",1369
"55119","scmh1","3Month",4500
"55120","scmh1","72hpf",4977
"55121","scml2","21Day",2523
"55122","scml2","22Month",1943
"55123","scml2","24hpf",3429
"55124","scml2","3Month",3667
"55125","scml2","72hpf",15430
"55126","scn1ba","21Day",616
"55127","scn1ba","22Month",108
"55128","scn1ba","24hpf",63
"55129","scn1ba","3Month",599
"55130","scn1ba","72hpf",567
"55131","scn1bb","21Day",204
"55132","scn1bb","22Month",33
"55133","scn1bb","24hpf",21
"55134","scn1bb","3Month",37
"55135","scn1bb","72hpf",640
"55136","scn4bb","21Day",192
"55137","scn4bb","22Month",1225
"55138","scn4bb","24hpf",55
"55139","scn4bb","3Month",1665
"55140","scn4bb","72hpf",122
"55141","scn8aa","21Day",315
"55142","scn8aa","22Month",125
"55143","scn8aa","24hpf",16
"55144","scn8aa","3Month",156
"55145","scn8aa","72hpf",843
"55146","scnm1","21Day",543
"55147","scnm1","22Month",1254
"55148","scnm1","24hpf",262
"55149","scnm1","3Month",3459
"55150","scnm1","72hpf",804
"55151","sco1","21Day",5915
"55152","sco1","22Month",8145
"55153","sco1","24hpf",1297
"55154","sco1","3Month",14531
"55155","sco1","72hpf",5469
"55156","sco2","21Day",1378
"55157","sco2","22Month",2406
"55158","sco2","24hpf",716
"55159","sco2","3Month",5664
"55160","sco2","72hpf",1869
"55161","scoca","21Day",626
"55162","scoca","22Month",739
"55163","scoca","24hpf",380
"55164","scoca","3Month",1821
"55165","scoca","72hpf",865
"55166","scocb","21Day",3391
"55167","scocb","22Month",2179
"55168","scocb","24hpf",3726
"55169","scocb","3Month",4878
"55170","scocb","72hpf",13649
"55171","scospondin","21Day",5
"55172","scospondin","22Month",537
"55173","scospondin","24hpf",36
"55174","scospondin","3Month",402
"55175","scospondin","72hpf",18
"55176","scp2a","21Day",6567
"55177","scp2a","22Month",472432
"55178","scp2a","24hpf",420
"55179","scp2a","3Month",659966
"55180","scp2a","72hpf",2709
"55181","scp2b","21Day",107
"55182","scp2b","22Month",393
"55183","scp2b","24hpf",19
"55184","scp2b","3Month",547
"55185","scp2b","72hpf",58
"55186","scpep1","21Day",5739
"55187","scpep1","22Month",48008
"55188","scpep1","24hpf",2587
"55189","scpep1","3Month",72120
"55190","scpep1","72hpf",6531
"55191","scpp5","21Day",746
"55192","scpp5","22Month",876
"55193","scpp5","24hpf",48
"55194","scpp5","3Month",7010
"55195","scpp5","72hpf",519
"55196","scpp7","21Day",125
"55197","scpp7","22Month",1691
"55198","scpp7","24hpf",6
"55199","scpp7","3Month",40205
"55200","scpp7","72hpf",7
"55201","scpp8","21Day",396
"55202","scpp8","22Month",33700
"55203","scpp8","24hpf",384
"55204","scpp8","3Month",12409
"55205","scpp8","72hpf",146
"55206","scrib","21Day",7994
"55207","scrib","22Month",13917
"55208","scrib","24hpf",2774
"55209","scrib","3Month",21775
"55210","scrib","72hpf",16224
"55211","scrn2","21Day",1068
"55212","scrn2","22Month",2379
"55213","scrn2","24hpf",62
"55214","scrn2","3Month",5167
"55215","scrn2","72hpf",1274
"55216","scrn3","21Day",834
"55217","scrn3","22Month",8681
"55218","scrn3","24hpf",91
"55219","scrn3","3Month",12782
"55220","scrn3","72hpf",766
"55221","scrt1a","21Day",899
"55222","scrt1a","22Month",3
"55223","scrt1a","24hpf",175
"55224","scrt1a","3Month",6
"55225","scrt1a","72hpf",4069
"55226","scrt2","21Day",3657
"55227","scrt2","22Month",189
"55228","scrt2","24hpf",1083
"55229","scrt2","3Month",79
"55230","scrt2","72hpf",17734
"55231","scube1","21Day",169
"55232","scube1","22Month",91
"55233","scube1","24hpf",91
"55234","scube1","3Month",79
"55235","scube1","72hpf",243
"55236","scube2","21Day",796
"55237","scube2","22Month",3777
"55238","scube2","24hpf",2684
"55239","scube2","3Month",11204
"55240","scube2","72hpf",2439
"55241","scube3","21Day",79
"55242","scube3","22Month",43
"55243","scube3","24hpf",82
"55244","scube3","3Month",146
"55245","scube3","72hpf",104
"55246","scxa","21Day",1536
"55247","scxa","22Month",440
"55248","scxa","24hpf",293
"55249","scxa","3Month",945
"55250","scxa","72hpf",2014
"55251","scyl1","21Day",4774
"55252","scyl1","22Month",11388
"55253","scyl1","24hpf",1961
"55254","scyl1","3Month",16625
"55255","scyl1","72hpf",6041
"55256","scyl3","21Day",1899
"55257","scyl3","22Month",4781
"55258","scyl3","24hpf",443
"55259","scyl3","3Month",9155
"55260","scyl3","72hpf",2276
"55261","sdad1","21Day",9857
"55262","sdad1","22Month",37252
"55263","sdad1","24hpf",4323
"55264","sdad1","3Month",45216
"55265","sdad1","72hpf",6866
"55266","sdc2","21Day",3369
"55267","sdc2","22Month",18547
"55268","sdc2","24hpf",1639
"55269","sdc2","3Month",17953
"55270","sdc2","72hpf",2635
"55271","sdc4","21Day",56749
"55272","sdc4","22Month",431700
"55273","sdc4","24hpf",20009
"55274","sdc4","3Month",343658
"55275","sdc4","72hpf",87460
"55276","sdcbp","21Day",81
"55277","sdcbp","22Month",503
"55278","sdcbp","24hpf",17
"55279","sdcbp","3Month",664
"55280","sdcbp","72hpf",351
"55281","sdcbp2","21Day",22642
"55282","sdcbp2","22Month",132357
"55283","sdcbp2","24hpf",7431
"55284","sdcbp2","3Month",105931
"55285","sdcbp2","72hpf",25477
"55286","sdccag3","21Day",697
"55287","sdccag3","22Month",1979
"55288","sdccag3","24hpf",196
"55289","sdccag3","3Month",3577
"55290","sdccag3","72hpf",904
"55291","sdccag8","21Day",375
"55292","sdccag8","22Month",1052
"55293","sdccag8","24hpf",153
"55294","sdccag8","3Month",4509
"55295","sdccag8","72hpf",735
"55296","sde2","21Day",2254
"55297","sde2","22Month",9400
"55298","sde2","24hpf",657
"55299","sde2","3Month",14060
"55300","sde2","72hpf",3027
"55301","sdf2","21Day",1648
"55302","sdf2","22Month",7656
"55303","sdf2","24hpf",617
"55304","sdf2","3Month",6312
"55305","sdf2","72hpf",1566
"55306","sdf2l1","21Day",9808
"55307","sdf2l1","22Month",27856
"55308","sdf2l1","24hpf",1757
"55309","sdf2l1","3Month",23774
"55310","sdf2l1","72hpf",12530
"55311","sdf4","21Day",11085
"55312","sdf4","22Month",21363
"55313","sdf4","24hpf",2255
"55314","sdf4","3Month",36044
"55315","sdf4","72hpf",10339
"55316","sdha","21Day",29733
"55317","sdha","22Month",50969
"55318","sdha","24hpf",6589
"55319","sdha","3Month",63787
"55320","sdha","72hpf",28393
"55321","sdhaf1","21Day",485
"55322","sdhaf1","22Month",2188
"55323","sdhaf1","24hpf",121
"55324","sdhaf1","3Month",2792
"55325","sdhaf1","72hpf",533
"55326","sdhaf2","21Day",4881
"55327","sdhaf2","22Month",14339
"55328","sdhaf2","24hpf",1798
"55329","sdhaf2","3Month",18463
"55330","sdhaf2","72hpf",3443
"55331","sdhaf3","21Day",1667
"55332","sdhaf3","22Month",6378
"55333","sdhaf3","24hpf",937
"55334","sdhaf3","3Month",8794
"55335","sdhaf3","72hpf",1832
"55336","sdhaf4","21Day",3969
"55337","sdhaf4","22Month",11122
"55338","sdhaf4","24hpf",1996
"55339","sdhaf4","3Month",22549
"55340","sdhaf4","72hpf",4835
"55341","sdhb","21Day",26515
"55342","sdhb","22Month",49305
"55343","sdhb","24hpf",5452
"55344","sdhb","3Month",61358
"55345","sdhb","72hpf",25805
"55346","sdhc","21Day",8305
"55347","sdhc","22Month",45675
"55348","sdhc","24hpf",3961
"55349","sdhc","3Month",62386
"55350","sdhc","72hpf",10688
"55351","sdhda","21Day",52
"55352","sdhda","22Month",390
"55353","sdhda","24hpf",52
"55354","sdhda","3Month",648
"55355","sdhda","72hpf",45
"55356","sdhdb","21Day",11452
"55357","sdhdb","22Month",34859
"55358","sdhdb","24hpf",3937
"55359","sdhdb","3Month",46298
"55360","sdhdb","72hpf",13303
"55361","sdk1a","21Day",730
"55362","sdk1a","22Month",4609
"55363","sdk1a","24hpf",51
"55364","sdk1a","3Month",3459
"55365","sdk1a","72hpf",1006
"55366","sdk1b","21Day",64
"55367","sdk1b","22Month",116
"55368","sdk1b","24hpf",39
"55369","sdk1b","3Month",221
"55370","sdk1b","72hpf",157
"55371","sdk2b","21Day",173
"55372","sdk2b","22Month",236
"55373","sdk2b","24hpf",87
"55374","sdk2b","3Month",247
"55375","sdk2b","72hpf",217
"55376","sdr16c5a","21Day",1645
"55377","sdr16c5a","22Month",23639
"55378","sdr16c5a","24hpf",1734
"55379","sdr16c5a","3Month",23081
"55380","sdr16c5a","72hpf",2965
"55381","sdr16c5b","21Day",3631
"55382","sdr16c5b","22Month",80735
"55383","sdr16c5b","24hpf",382
"55384","sdr16c5b","3Month",151839
"55385","sdr16c5b","72hpf",3450
"55386","sdr39u1","21Day",1383
"55387","sdr39u1","22Month",5842
"55388","sdr39u1","24hpf",787
"55389","sdr39u1","3Month",10010
"55390","sdr39u1","72hpf",1673
"55391","sdr42e1","21Day",332
"55392","sdr42e1","22Month",1181
"55393","sdr42e1","24hpf",76
"55394","sdr42e1","3Month",4062
"55395","sdr42e1","72hpf",220
"55396","sec11a","21Day",7857
"55397","sec11a","22Month",52207
"55398","sec11a","24hpf",6143
"55399","sec11a","3Month",63284
"55400","sec11a","72hpf",11368
"55401","sec13","21Day",16902
"55402","sec13","22Month",37824
"55403","sec13","24hpf",5885
"55404","sec13","3Month",50858
"55405","sec13","72hpf",21254
"55406","sec14l1","21Day",640
"55407","sec14l1","22Month",1847
"55408","sec14l1","24hpf",177
"55409","sec14l1","3Month",6860
"55410","sec14l1","72hpf",457
"55411","sec14l8","21Day",2452
"55412","sec14l8","22Month",19598
"55413","sec14l8","24hpf",98
"55414","sec14l8","3Month",34279
"55415","sec14l8","72hpf",1068
"55416","sec16b","21Day",45
"55417","sec16b","22Month",547
"55418","sec16b","24hpf",8
"55419","sec16b","3Month",717
"55420","sec16b","72hpf",28
"55421","sec22a","21Day",1334
"55422","sec22a","22Month",4244
"55423","sec22a","24hpf",767
"55424","sec22a","3Month",6446
"55425","sec22a","72hpf",2423
"55426","sec22ba","21Day",1887
"55427","sec22ba","22Month",26400
"55428","sec22ba","24hpf",841
"55429","sec22ba","3Month",24225
"55430","sec22ba","72hpf",2146
"55431","sec22bb","21Day",2312
"55432","sec22bb","22Month",14895
"55433","sec22bb","24hpf",1087
"55434","sec22bb","3Month",12476
"55435","sec22bb","72hpf",4493
"55436","sec23a","21Day",8712
"55437","sec23a","22Month",17545
"55438","sec23a","24hpf",2421
"55439","sec23a","3Month",21345
"55440","sec23a","72hpf",9008
"55441","sec23b","21Day",16376
"55442","sec23b","22Month",57447
"55443","sec23b","24hpf",2149
"55444","sec23b","3Month",76309
"55445","sec23b","72hpf",29513
"55446","sec23ip","21Day",3130
"55447","sec23ip","22Month",14948
"55448","sec23ip","24hpf",909
"55449","sec23ip","3Month",18546
"55450","sec23ip","72hpf",3422
"55451","sec24a","21Day",888
"55452","sec24a","22Month",968
"55453","sec24a","24hpf",247
"55454","sec24a","3Month",1082
"55455","sec24a","72hpf",893
"55456","sec24b","21Day",3946
"55457","sec24b","22Month",8216
"55458","sec24b","24hpf",1547
"55459","sec24b","3Month",10231
"55460","sec24b","72hpf",7925
"55461","sec24c","21Day",7485
"55462","sec24c","22Month",20267
"55463","sec24c","24hpf",3150
"55464","sec24c","3Month",18340
"55465","sec24c","72hpf",12776
"55466","sec24d","21Day",1359
"55467","sec24d","22Month",1909
"55468","sec24d","24hpf",137
"55469","sec24d","3Month",2361
"55470","sec24d","72hpf",944
"55471","sec31a","21Day",4207
"55472","sec31a","22Month",12895
"55473","sec31a","24hpf",1721
"55474","sec31a","3Month",11703
"55475","sec31a","72hpf",5645
"55476","sec31b","21Day",786
"55477","sec31b","22Month",1165
"55478","sec31b","24hpf",201
"55479","sec31b","3Month",1875
"55480","sec31b","72hpf",998
"55481","sec61a1","21Day",54889
"55482","sec61a1","22Month",345628
"55483","sec61a1","24hpf",13782
"55484","sec61a1","3Month",167248
"55485","sec61a1","72hpf",67975
"55486","sec61a1l","21Day",4945
"55487","sec61a1l","22Month",125249
"55488","sec61a1l","24hpf",1904
"55489","sec61a1l","3Month",84879
"55490","sec61a1l","72hpf",5167
"55491","sec61b","21Day",27301
"55492","sec61b","22Month",122457
"55493","sec61b","24hpf",13048
"55494","sec61b","3Month",91981
"55495","sec61b","72hpf",31890
"55496","sec61g","21Day",36310
"55497","sec61g","22Month",449537
"55498","sec61g","24hpf",18791
"55499","sec61g","3Month",259658
"55500","sec61g","72hpf",37906
"55501","sec62","21Day",6315
"55502","sec62","22Month",39701
"55503","sec62","24hpf",2796
"55504","sec62","3Month",41766
"55505","sec62","72hpf",8464
"55506","sec63","21Day",16457
"55507","sec63","22Month",28906
"55508","sec63","24hpf",7616
"55509","sec63","3Month",32276
"55510","sec63","72hpf",22457
"55511","secisbp2","21Day",562
"55512","secisbp2","22Month",3201
"55513","secisbp2","24hpf",334
"55514","secisbp2","3Month",2856
"55515","secisbp2","72hpf",656
"55516","seh1l","21Day",7424
"55517","seh1l","22Month",10503
"55518","seh1l","24hpf",6036
"55519","seh1l","3Month",15393
"55520","seh1l","72hpf",11186
"55521","sel1l","21Day",2513
"55522","sel1l","22Month",10012
"55523","sel1l","24hpf",735
"55524","sel1l","3Month",9514
"55525","sel1l","72hpf",4640
"55526","sele","21Day",682
"55527","sele","22Month",7742
"55528","sele","24hpf",126
"55529","sele","3Month",9984
"55530","sele","72hpf",1637
"55531","selenbp1","21Day",4642
"55532","selenbp1","22Month",18686
"55533","selenbp1","24hpf",1204
"55534","selenbp1","3Month",41233
"55535","selenbp1","72hpf",3921
"55536","selenof","21Day",17020
"55537","selenof","22Month",84368
"55538","selenof","24hpf",8927
"55539","selenof","3Month",110565
"55540","selenof","72hpf",25178
"55541","selenoh","21Day",13551
"55542","selenoh","22Month",15243
"55543","selenoh","24hpf",17089
"55544","selenoh","3Month",33547
"55545","selenoh","72hpf",17149
"55546","selenoi","21Day",58
"55547","selenoi","22Month",38
"55548","selenoi","24hpf",30
"55549","selenoi","3Month",48
"55550","selenoi","72hpf",33
"55551","selenoj","21Day",3564
"55552","selenoj","22Month",17708
"55553","selenoj","24hpf",770
"55554","selenoj","3Month",32665
"55555","selenoj","72hpf",3910
"55556","selenok","21Day",16065
"55557","selenok","22Month",50919
"55558","selenok","24hpf",17519
